id,created_at,updated_at,created_by,type,category,severity,name,description,query,auto,alive_only,report_vuln,risk,exploitable,vid,cve,cvss2_base_score,cvss2_temporal_score,cvss3_base_score,cvss3_temporal_score,cpe23,solution,attributes
,2024-09-13,2024-09-13,salesengineering@runzero.com,assets,Policy,Info,Qualys: assets that have not been scanned within the past 2 weeks,,"source:qualys AND @qualys.dev.host.lastScannedDateTimeTS:"">2weeks""",false,true,false,None,false,,,0,0,0,0,,,{}
,2024-09-13,2024-09-16,salesengineering@runzero.com,vulnerabilities,Security,Medium,Qualys: easily exploited vulnerabilities,,"source:qualys AND vulnerability.threatIntel:""%Easy_Exploit%""",false,true,false,None,false,,,0,0,0,0,,,{}
,2024-09-16,2024-09-16,salesengineering@runzero.com,vulnerabilities,Security,High,Qualys: vulnerabilities with publicly available exploits,,"source:qualys AND vulnerability.threatIntel:""%Exploit_Public%""	",false,true,false,None,false,,,0,0,0,0,,,{}
,2024-09-16,2024-09-16,salesengineering@runzero.com,vulnerabilities,Security,High,Qualys: vulnerabilities enabling lateral movement,,"source:qualys AND vulnerability.threatIntel:""%High_Lateral_Movement%""",false,true,false,None,false,,,0,0,0,0,,,{}
,2024-09-16,2024-09-16,salesengineering@runzero.com,vulnerabilities,Security,Critical,Qualys: vulnerabilities that can lead to high data loss,,"source:qualys AND vulnerability.threatIntel:""%High_Data_Loss%""",false,true,false,None,false,,,0,0,0,0,,,{}
,2024-09-16,2024-09-16,salesengineering@runzero.com,vulnerabilities,Security,Medium,Qualys: vulnerabilities leading to denial of service,,"source:qualys AND vulnerability.threatIntel:""%Denial_of_Service%""",false,true,false,None,false,,,0,0,0,0,,,{}
,2024-09-16,2024-09-16,salesengineering@runzero.com,vulnerabilities,Security,High,Qualys: high risk vulnerabilities,,"source:qualys AND vulnerability.threatIntel:""%Predicted_High_Risk%""",false,true,false,None,false,,,0,0,0,0,,,{}
,2024-09-16,2024-09-16,salesengineering@runzero.com,vulnerabilities,Security,Medium,Qualys: vulnerabilities that allow for unauthenticated exploitation,,"source:qualys AND vulnerability.threatIntel:""%unauthenticated_Exploitation%""",false,true,false,None,false,,,0,0,0,0,,,{}
,2024-09-16,2024-09-16,salesengineering@runzero.com,vulnerabilities,Security,High,Qualys: vulnerabilities that allow remote code execution,,"source:qualys AND vulnerability.threatIntel:""%Remote_Code_Execution%""",false,true,false,None,false,,,0,0,0,0,,,{}
,2024-09-16,2024-09-16,salesengineering@runzero.com,vulnerabilities,Security,Medium,Qualys: wormable vulnerabilities,,"source:qualys AND vulnerability.threatIntel:""%Wormable%""",false,true,false,None,false,,,0,0,0,0,,,{}
,2024-09-16,2024-09-16,salesengineering@runzero.com,vulnerabilities,Security,Critical,Qualys: ransomware detections,,"source:qualys AND vulnerability.threatIntel:""%Ransomware%""",false,true,false,None,false,,,0,0,0,0,,,{}
,2024-09-16,2024-09-16,salesengineering@runzero.com,vulnerabilities,Security,Critical,Qualys: critical severity vulnerabilities that are on CISA's Known Exploited list,Critical vulnerabilities are to be remediated within 15 days per CISA guidance.,"source:qualys AND severity:critical AND (vulnerability.threatIntel:""%Cisa_Known_Exploited_Vulns%"" OR kev:cisa)",false,true,false,None,false,,,0,0,0,0,,,{}
,2024-09-16,2024-09-16,salesengineering@runzero.com,vulnerabilities,Security,High,Qualys: high severity vulnerabilities that are on CISA's Known Exploited list,High severity vulnerabilities are to be remediated within 30 days per CISA guidance.,"source:qualys AND severity:high AND (vulnerability.threatIntel:""%Cisa_Known_Exploited_Vulns%"" OR kev:cisa)",false,true,false,None,false,,,0,0,0,0,,,{}
,2024-09-16,2024-09-16,salesengineering@runzero.com,assets,Audit,Info,Qualys: assets with Qualys endpoint agent installed,,"source:qualys AND @qualys.dev.host.trackingMethod:=""AGENT""",false,true,false,None,false,,,0,0,0,0,,,{}
,2024-09-16,2024-09-16,salesengineering@runzero.com,assets,Audit,Info,Qualys: reported by Qualys but do not have the endpoint agent installed,,"source:qualys AND source:qualys AND NOT @qualys.dev.host.trackingMethod:=""AGENT""",false,true,false,None,false,,,0,0,0,0,,,{}
,2024-09-16,2024-09-16,salesengineering@runzero.com,assets,Audit,Info,Qualys: reported by qualys and found via vuln scan,,"source:qualys AND @qualys.dev.host.trackingMethod:=""IP""",false,true,false,None,false,,,0,0,0,0,,,{}
,2024-09-16,2024-09-16,salesengineering@runzero.com,assets,Audit,Info,Qualys: endpoints that could host a Qualys endpoint agent but do not have one installed,,"NOT @qualys.dev.host.trackingMethod:=""AGENT"" AND (type:server OR type:laptop OR type:desktop)",false,true,false,None,false,,,0,0,0,0,,,{}
